ID Theta Throughput
0 0.2 2.2405336
1 0.4 2.2690218
2 0.6 2.3046686000000003
3 0.8 1.5444272
4 0.9 0.6936978
5 0.95 0.5076436000000001
6 0.99 0.3784862
